accent,substitutions,deletions,insertions,hits,ref_words,total_errors,share_substitutions,substitutions_per_ref_word,share_deletions,deletions_per_ref_word,share_insertions,insertions_per_ref_word
arabic,288,86,148,1696,2070,522,0.5517241379310345,0.1391304347826087,0.16475095785440613,0.04154589371980676,0.2835249042145594,0.07149758454106281
english_uk,140,16,130,1914,2070,286,0.48951048951048953,0.06763285024154589,0.055944055944055944,0.007729468599033816,0.45454545454545453,0.06280193236714976
english_us,4,21,1,2045,2070,26,0.15384615384615385,0.001932367149758454,0.8076923076923077,0.010144927536231883,0.038461538461538464,0.0004830917874396135
hindi,6,6,2,1230,1242,14,0.42857142857142855,0.004830917874396135,0.42857142857142855,0.004830917874396135,0.14285714285714285,0.001610305958132045
pakistani,23,75,5,1351,1449,103,0.22330097087378642,0.015873015873015872,0.7281553398058253,0.051759834368530024,0.04854368932038835,0.003450655624568668
