accent,n,mean_wer,std_wer,median_wer,ci95_low,ci95_high,n_wrong_language,n_clean,mean_wer_clean,median_wer_clean,ci95_low_clean,ci95_high_clean
arabic,30,0.25217391304347825,0.5603152401491187,0.028985507246376812,0.08646135265700493,0.4831038647342994,4,26,0.06967670011148273,0.014492753623188406,0.02564102564102564,0.1254180602006689
english_uk,30,0.13816425120772946,0.47720315752210907,0.014492753623188406,0.01980676328502415,0.33671497584541055,0,30,0.13816425120772946,0.014492753623188406,0.01980676328502415,0.33671497584541055
pakistani,21,0.07108350586611456,0.2143215514319723,0.028985507246376812,0.016563146997929608,0.16908212560386474,1,20,0.02463768115942029,0.021739130434782608,0.013768115942028985,0.03623188405797101
english_us,30,0.01256038647342995,0.04058922807871503,0.0,0.0024154589371980675,0.028985507246376815,0,30,0.01256038647342995,0.0,0.0024154589371980675,0.028985507246376815
hindi,18,0.011272141706924317,0.018965130677423798,0.0,0.00322061191626409,0.020128824476650566,0,18,0.011272141706924317,0.0,0.00322061191626409,0.020128824476650566
